,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
681990,AU,Australia,Victoria,City of Frankston,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2022-09-07,-1.0,6.0,28.0,-15.0,-12.0,3.0
681991,AU,Australia,Victoria,City of Frankston,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2022-09-08,-7.0,7.0,-23.0,-21.0,-8.0,5.0
681992,AU,Australia,Victoria,City of Frankston,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2022-09-09,-3.0,11.0,47.0,-19.0,-8.0,2.0
681993,AU,Australia,Victoria,City of Frankston,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2022-09-10,3.0,10.0,-7.0,-14.0,-11.0,2.0
681994,AU,Australia,Victoria,City of Frankston,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2022-09-11,-2.0,8.0,30.0,-22.0,-17.0,2.0
681995,AU,Australia,Victoria,City of Frankston,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2022-09-12,-3.0,7.0,2.0,-19.0,-10.0,4.0
681996,AU,Australia,Victoria,City of Frankston,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2022-09-13,-5.0,3.0,-11.0,-26.0,-12.0,3.0
682932,AU,Australia,Victoria,City of Glen Eira,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2022-09-07,-8.0,1.0,-16.0,-46.0,-23.0,9.0
682933,AU,Australia,Victoria,City of Glen Eira,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2022-09-08,-14.0,-4.0,-33.0,-52.0,-17.0,9.0
682934,AU,Australia,Victoria,City of Glen Eira,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2022-09-09,-2.0,1.0,13.0,-38.0,-22.0,8.0
682935,AU,Australia,Victoria,City of Glen Eira,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2022-09-10,-6.0,2.0,-5.0,-7.0,-14.0,3.0
682936,AU,Australia,Victoria,City of Glen Eira,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2022-09-11,-4.0,-1.0,-4.0,-38.0,-14.0,3.0
682937,AU,Australia,Victoria,City of Glen Eira,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2022-09-12,-13.0,3.0,-26.0,-55.0,-22.0,9.0
682938,AU,Australia,Victoria,City of Glen Eira,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2022-09-13,-12.0,0.0,-26.0,-47.0,-21.0,9.0
683874,AU,Australia,Victoria,City of Greater Dandenong,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2022-09-07,-10.0,-4.0,-32.0,-28.0,-18.0,4.0
683875,AU,Australia,Victoria,City of Greater Dandenong,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2022-09-08,-14.0,-12.0,-42.0,-30.0,-19.0,5.0
683876,AU,Australia,Victoria,City of Greater Dandenong,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2022-09-09,-5.0,-3.0,-31.0,-24.0,-18.0,4.0
683877,AU,Australia,Victoria,City of Greater Dandenong,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2022-09-10,-1.0,-5.0,-26.0,-27.0,-18.0,4.0
683878,AU,Australia,Victoria,City of Greater Dandenong,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2022-09-11,-6.0,-10.0,-25.0,-28.0,-25.0,3.0
683879,AU,Australia,Victoria,City of Greater Dandenong,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2022-09-12,-11.0,-4.0,-49.0,-28.0,-15.0,5.0
683880,AU,Australia,Victoria,City of Greater Dandenong,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2022-09-13,-12.0,-7.0,-40.0,-29.0,-16.0,4.0
684816,AU,Australia,Victoria,City of Hobsons Bay,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2022-09-07,-4.0,3.0,-27.0,-35.0,-25.0,6.0
684817,AU,Australia,Victoria,City of Hobsons Bay,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2022-09-08,-10.0,-2.0,-58.0,-40.0,-23.0,7.0
684818,AU,Australia,Victoria,City of Hobsons Bay,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2022-09-09,1.0,6.0,-44.0,-37.0,-22.0,6.0
684819,AU,Australia,Victoria,City of Hobsons Bay,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2022-09-10,3.0,0.0,-56.0,-33.0,-12.0,2.0
684820,AU,Australia,Victoria,City of Hobsons Bay,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2022-09-11,3.0,2.0,-44.0,-41.0,-27.0,3.0
684821,AU,Australia,Victoria,City of Hobsons Bay,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2022-09-12,-10.0,4.0,-34.0,-43.0,-29.0,8.0
684822,AU,Australia,Victoria,City of Hobsons Bay,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2022-09-13,-5.0,4.0,-44.0,-42.0,-26.0,6.0
685758,AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2022-09-07,1.0,19.0,-10.0,-23.0,-7.0,3.0
685759,AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2022-09-08,-4.0,16.0,-26.0,-24.0,-5.0,4.0
685760,AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2022-09-09,11.0,31.0,5.0,-19.0,-6.0,2.0
685761,AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2022-09-10,8.0,26.0,-15.0,-18.0,-9.0,2.0
685762,AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2022-09-11,8.0,18.0,-6.0,-19.0,-17.0,3.0
685763,AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2022-09-12,3.0,21.0,-22.0,-23.0,-4.0,3.0
685764,AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2022-09-13,1.0,17.0,-19.0,-23.0,-6.0,3.0
686700,AU,Australia,Victoria,City of Kingston,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2022-09-07,-8.0,-8.0,-1.0,-35.0,-21.0,5.0
686701,AU,Australia,Victoria,City of Kingston,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2022-09-08,-16.0,-16.0,-45.0,-33.0,-19.0,7.0
686702,AU,Australia,Victoria,City of Kingston,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2022-09-09,-7.0,-10.0,-14.0,-28.0,-22.0,5.0
686703,AU,Australia,Victoria,City of Kingston,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2022-09-10,0.0,-13.0,-22.0,-21.0,-15.0,3.0
686704,AU,Australia,Victoria,City of Kingston,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2022-09-11,-4.0,-10.0,-22.0,-28.0,-17.0,3.0
686705,AU,Australia,Victoria,City of Kingston,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2022-09-12,-14.0,-11.0,-10.0,-30.0,-21.0,7.0
686706,AU,Australia,Victoria,City of Kingston,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2022-09-13,-13.0,-14.0,-26.0,-30.0,-21.0,5.0
687642,AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2022-09-07,-20.0,-6.0,-34.0,-29.0,-30.0,5.0
687643,AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2022-09-08,-23.0,9.0,-43.0,-27.0,-27.0,6.0
687644,AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2022-09-09,-16.0,11.0,-42.0,-27.0,-27.0,5.0
687645,AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2022-09-10,-15.0,10.0,-21.0,-13.0,-17.0,3.0
687646,AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2022-09-11,-19.0,-5.0,-43.0,-26.0,-22.0,3.0
687647,AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2022-09-12,-22.0,7.0,-41.0,-31.0,-27.0,6.0
687648,AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2022-09-13,-22.0,6.0,-48.0,-28.0,-27.0,6.0
688584,AU,Australia,Victoria,City of Manningham,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2022-09-07,-9.0,13.0,21.0,-47.0,-14.0,6.0
688585,AU,Australia,Victoria,City of Manningham,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2022-09-08,-14.0,5.0,-14.0,-45.0,-13.0,7.0
688586,AU,Australia,Victoria,City of Manningham,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2022-09-09,-5.0,15.0,12.0,-41.0,-10.0,6.0
688587,AU,Australia,Victoria,City of Manningham,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2022-09-10,1.0,19.0,-18.0,-47.0,2.0,3.0
688588,AU,Australia,Victoria,City of Manningham,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2022-09-11,-1.0,16.0,9.0,-58.0,-6.0,3.0
688589,AU,Australia,Victoria,City of Manningham,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2022-09-12,-11.0,9.0,3.0,-42.0,-14.0,7.0
688590,AU,Australia,Victoria,City of Manningham,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2022-09-13,-11.0,12.0,-18.0,-48.0,-13.0,6.0
689526,AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2022-09-07,-14.0,-1.0,-7.0,-38.0,-26.0,8.0
689527,AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2022-09-08,-20.0,-5.0,-7.0,-42.0,-26.0,10.0
689528,AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2022-09-09,-8.0,4.0,19.0,-38.0,-27.0,8.0
689529,AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2022-09-10,-8.0,0.0,9.0,-33.0,-20.0,4.0
689530,AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2022-09-11,-7.0,0.0,-4.0,-44.0,-29.0,3.0
689531,AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2022-09-12,-18.0,-1.0,-23.0,-43.0,-28.0,9.0
689532,AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2022-09-13,-17.0,-3.0,-18.0,-43.0,-26.0,8.0
690468,AU,Australia,Victoria,City of Melbourne,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2022-09-07,-33.0,-28.0,-47.0,-40.0,-20.0,11.0
690469,AU,Australia,Victoria,City of Melbourne,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2022-09-08,-37.0,-23.0,-60.0,-45.0,-15.0,11.0
