,Location,Date_confirmation,cases,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21
602,Victoria,2022-09-11,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,4,0,8,0,0
603,Victoria,2022-09-12,0,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,4,0,8,0
604,Victoria,2022-09-13,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,4,0,8
605,Victoria,2022-09-14,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,4,0
606,Victoria,2022-09-15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,4
607,Victoria,2022-09-16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0
608,Victoria,2022-09-17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0
