Age,0
0-14,1
50-55,1
46-50,1
45-50,1
41-45,1
40-42,1
31-59,1
31-44,1
25-30,1
24-29,1
19-59,1
19-24,1
70-74,1
0-29,1
0-5,1
22-55,2
26-30,2
30-35,2
0-9,2
20-35,2
5-9,2
10-14,2
36-50,2
15-20,2
15-39,2
40-45,2
60-64,2
35-40,2
34-46,2
25-49,3
65-69,3
45-54,3
51-65,3
55-64,3
50-59,4
22-43,4
55-59,4
20-25,4
15-19,4
20-39,4
40-49,5
20-29,5
25-44,5
25-39,5
25-53,5
23-46,5
20-50,6
50-54,6
22-59,6
15-59,7
35-44,7
30-49,7
30-50,7
26-54,8
25-34,10
30-54,12
45-49,13
20-46,13
20-60,15
20-62,15
20-54,16
20-49,17
30-39,19
0-49,19
30-59,20
20-24,22
20-65,28
0-39,31
0-59,34
40-44,37
1-69,37
35-39,39
25-29,45
20-99,57
20-44,60
30-34,63
15-69,184
15-84,187
20-59,206
20-64,225
15-74,240
15-64,271
20-69,585
