country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Victoria,Cardinia Shire,,,,ChIJ73I5EUThKWsRm2i9jETj_Rg,2022-09-09,11.0,24.0,-13.0,10.0,12.0,2.0
AU,Australia,Victoria,Cardinia Shire,,,,ChIJ73I5EUThKWsRm2i9jETj_Rg,2022-09-10,9.0,17.0,-23.0,10.0,5.0,2.0
AU,Australia,Victoria,Cardinia Shire,,,,ChIJ73I5EUThKWsRm2i9jETj_Rg,2022-09-11,7.0,14.0,-32.0,-11.0,-2.0,2.0
AU,Australia,Victoria,Cardinia Shire,,,,ChIJ73I5EUThKWsRm2i9jETj_Rg,2022-09-12,2.0,28.0,-25.0,9.0,17.0,4.0
AU,Australia,Victoria,Cardinia Shire,,,,ChIJ73I5EUThKWsRm2i9jETj_Rg,2022-09-13,6.0,18.0,-37.0,11.0,12.0,3.0
AU,Australia,Victoria,Cardinia Shire,,,,ChIJ73I5EUThKWsRm2i9jETj_Rg,2022-09-14,5.0,21.0,-28.0,21.0,13.0,3.0
AU,Australia,Victoria,Central Goldfields Shire,,,,ChIJS17WjWDd0GoR1HUdUIllfaI,2022-09-08,,,,,20.0,
AU,Australia,Victoria,Central Goldfields Shire,,,,ChIJS17WjWDd0GoR1HUdUIllfaI,2022-09-09,,,,,24.0,
AU,Australia,Victoria,Central Goldfields Shire,,,,ChIJS17WjWDd0GoR1HUdUIllfaI,2022-09-12,,,,,16.0,
AU,Australia,Victoria,Central Goldfields Shire,,,,ChIJS17WjWDd0GoR1HUdUIllfaI,2022-09-13,,,,,20.0,
AU,Australia,Victoria,Central Goldfields Shire,,,,ChIJS17WjWDd0GoR1HUdUIllfaI,2022-09-14,,,,,18.0,
AU,Australia,Victoria,City of Ballarat,,,,ChIJ_0n_WU5C0WoRQhNeXyaV8hU,2022-09-08,-8.0,6.0,-20.0,-34.0,11.0,4.0
AU,Australia,Victoria,City of Ballarat,,,,ChIJ_0n_WU5C0WoRQhNeXyaV8hU,2022-09-09,-1.0,13.0,16.0,-24.0,14.0,2.0
AU,Australia,Victoria,City of Ballarat,,,,ChIJ_0n_WU5C0WoRQhNeXyaV8hU,2022-09-10,2.0,12.0,4.0,-7.0,6.0,3.0
AU,Australia,Victoria,City of Ballarat,,,,ChIJ_0n_WU5C0WoRQhNeXyaV8hU,2022-09-11,-3.0,7.0,-13.0,-17.0,4.0,3.0
AU,Australia,Victoria,City of Ballarat,,,,ChIJ_0n_WU5C0WoRQhNeXyaV8hU,2022-09-12,-5.0,9.0,-12.0,-17.0,17.0,2.0
AU,Australia,Victoria,City of Ballarat,,,,ChIJ_0n_WU5C0WoRQhNeXyaV8hU,2022-09-13,-6.0,4.0,-9.0,-32.0,14.0,3.0
